"Data Source","World Development Indicators",

"Last Updated Date","2016-12-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3083498","3263534","3496545","3764690","4016359","4246528","4400760","4513206","4609034","4719780","4823765","5032416","5294043","5568592","5854441","6112379","6309366","6472005","6643829","6821411","7049139","7315166","7625167","7982593","8334374","","",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4118283","4240618","4395127","4596223","4753890","4899394","5017965","5139890","5276932","5435184","5602376","5774556","5943869","6145940","6349807","6532581","6706791","6880140","7093250","7372077","7668392","7936604","8225478","8533081","8844204","","",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420090","1426671","1417149","1405073","1393880","1376110","1369683","1372596","1359599","1349106","1339903","1330700","1333671","1321944","1310572","1300764","1288396","1275913","1264937","1256141","1263474","1270680","1279578","1286703","1292576","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62449750","63666841","64715354","67167319","70013632","72966133","75123093","77151863","79110729","81969853","84108456","85947154","88191114","91687524","95249143","98684967","101417511","105646297","109346675","112770789","116480429","119882929","123162062","126761854","129930989","","",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913224","980421","1053463","1130712","1212920","1296128","1372595","1456521","1543059","1632303","1731307","1870222","2015745","2196050","2452261","2809300","3297720","3898859","4538939","5138845","5644707","5947418","6133667","6232093","6302492","","",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13330838","13455537","13605210","13815407","14044621","14383661","14587831","14808711","14997177","15210091","15425079","15705904","15981243","16255618","17522511","17765542","17995976","18150711","18309802","18464063","18487415","18756183","19018087","19277010","19540451","","",
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1680806","1663456","1617105","1572172","1533677","1502244","1484559","1472550","1469334","1471986","1473270","1479938","1465479","1452121","1437011","1422160","1404165","1389767","1377220","1393344","1451010","1499242","1511630","1536362","1559971","","",
"American Samoa","ASM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8502257","8552930","8627063","8674510","8829084","9048336","9149682","9224753","9325797","9421693","9612292","9785457","9932691","10098745","10226994","10551287","10804141","10980900","11274322","11508294","11705683","11873332","12037760","12241399","12416897","","",
"Austria","AUT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3545731","3599639","3690352","3722318","3837677","3858052","3818413","3830150","3833025","3858955","3864115","3895995","3969669","4015070","3992497","4071442","4150596","4240397","4275599","4314617","4314610","4351706","4392277","4429888","4466361","","",
"Azerbaijan","AZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2921075","2973261","3065618","3138247","3191213","3234076","3283436","3343308","3410029","3475694","3556038","3641880","3728565","3811265","3899229","3986191","4077554","4163025","4298314","4460326","4512169","4633526","4749767","4850138","4950969","","",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2653640","2675330","2700005","2724343","2747193","2771597","2784509","2794990","2811126","2855781","2919918","3025677","3148370","3287718","3433595","3580788","3727663","3881359","4036094","4196196","4356353","4504068","4650103","4799384","4952060","","",
