MSK,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-11-1,28,27,26,23,21,18,86,80,69,30.12,30.07,29.98,6,6,4,11,6,,0.00,7,Snow,337
2016-11-2,28,26,24,23,22,19,86,81,74,30.12,30.05,29.92,6,6,2,13,5,,0.00,7,Snow,128
2016-11-3,33,30,28,30,27,23,93,88,80,29.92,29.72,29.62,6,4,1,16,12,,0.00,7,Snow,122
2016-11-4,33,30,28,32,29,23,100,90,75,29.83,29.70,29.62,6,3,1,13,6,,0.00,7,Snow,225
2016-11-5,30,27,24,25,23,21,93,85,80,30.06,29.95,29.83,6,5,2,11,9,,0.00,7,Snow,256
2016-11-6,28,24,21,27,23,18,93,90,86,30.12,30.04,29.86,6,3,0,13,6,,0.00,7,Fog-Snow,137
2016-11-7,33,30,28,32,30,27,93,92,86,29.83,29.65,29.47,6,4,1,16,13,,0.00,7,Rain-Snow,78
2016-11-8,41,36,32,39,31,28,93,85,75,29.98,29.65,29.39,6,5,0,16,9,25,0.00,7,Fog-Rain-Snow,228
2016-11-9,33,30,26,30,27,19,93,83,74,30.15,30.09,29.98,6,6,5,13,7,,0.00,7,,61
2016-11-10,33,28,23,32,26,18,93,89,80,30.12,29.83,29.65,6,4,1,18,11,,0.00,8,Fog-Rain-Snow,58
2016-11-11,35,28,21,34,30,19,100,93,86,29.65,29.54,29.47,6,3,0,16,8,,0.00,7,Fog-Rain-Snow,304
2016-11-12,24,22,19,21,18,16,86,84,74,30.04,29.86,29.65,6,3,1,16,12,22,0.00,7,Snow,259
2016-11-13,28,26,21,21,20,18,93,81,74,30.24,30.15,30.04,6,6,3,11,8,,0.00,6,Snow,236
2016-11-14,26,24,21,21,20,18,93,85,74,30.42,30.35,30.24,6,6,6,7,4,,0.00,6,Snow,67
2016-11-15,26,24,23,21,21,19,93,87,80,30.48,30.45,30.42,6,6,3,9,6,,0.00,7,Snow,78
2016-11-16,28,26,23,23,20,18,86,78,74,30.42,30.34,30.30,6,6,5,11,6,,0.00,8,,173
2016-11-17,28,27,26,25,22,21,86,79,74,30.27,30.23,30.21,6,6,6,13,9,20,0.00,8,,168
2016-11-18,28,27,26,25,23,21,86,82,74,30.39,30.29,30.21,6,6,4,11,10,,0.00,8,,147
2016-11-19,39,34,30,32,29,25,93,82,75,30.51,30.45,30.39,6,5,3,11,10,,0.00,8,Rain,141
2016-11-20,35,32,28,28,25,21,81,76,69,30.63,30.56,30.51,6,6,6,18,14,27,0.00,5,Rain,144
2016-11-21,30,26,23,25,19,14,80,70,59,30.71,30.69,30.66,6,6,6,13,11,,0.00,7,,150
2016-11-22,26,20,14,12,11,9,79,68,55,30.71,30.68,30.63,,,,13,8,,0.00,,,153
2016-11-23,26,20,14,14,12,9,86,67,54,30.66,30.51,30.33,,,,11,6,,0.00,,,176
2016-11-24,30,26,21,27,17,12,93,78,63,30.33,30.09,29.86,6,5,3,13,9,20,0.00,7,Snow,211
2016-11-25,37,34,32,30,27,21,87,72,56,29.86,29.80,29.77,6,6,6,16,11,22,0.00,7,,252
2016-11-26,33,32,30,30,28,25,93,84,70,29.80,29.65,29.33,6,5,1,13,8,,0.00,7,Snow,228
2016-11-27,37,34,32,32,31,28,93,86,70,29.39,29.25,29.15,6,6,2,13,10,,0.00,7,Rain-Snow,223
2016-11-28,35,27,19,32,26,14,93,88,75,29.53,29.41,29.36,6,4,2,18,5,,0.00,6,Snow,220
2016-11-29,19,16,14,16,9,7,86,76,68,29.92,29.75,29.56,6,5,2,16,10,,0.00,6,Snow,302
2016-11-30,15,12,6,12,6,3,86,79,73,30.01,29.96,29.89,6,6,6,16,8,,0.00,3,Snow,239
