CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-9-1,73,68,62,61,57,53,84,69,53,30.22,30.17,30.10,10,10,10,24,12,30,T,4,,8
2016-9-2,74,68,62,59,55,51,84,65,46,30.29,30.23,30.20,10,10,10,16,8,20,0.00,2,,45
2016-9-3,76,66,56,59,56,53,93,70,46,30.25,30.19,30.15,10,10,10,13,6,17,0.00,1,,94
2016-9-4,80,70,59,59,57,55,90,68,45,30.20,30.15,30.11,10,10,10,17,8,21,0.00,3,,156
2016-9-5,87,75,62,71,65,58,90,70,50,30.12,30.07,30.01,10,10,10,23,9,29,0.00,3,,192
2016-9-6,91,83,75,74,72,70,87,70,52,30.06,30.02,29.96,10,10,10,21,10,28,T,3,,208
2016-9-7,89,82,74,76,72,69,85,70,55,30.01,29.95,29.87,10,9,2,29,10,38,0.39,6,Rain-Thunderstorm,232
2016-9-8,82,76,70,72,70,65,93,78,62,29.93,29.87,29.82,10,10,10,18,8,24,0.05,7,Rain,245
2016-9-9,81,72,63,71,65,58,93,75,57,29.94,29.91,29.84,10,10,10,18,5,22,T,6,,182
2016-9-10,73,66,59,66,60,52,93,71,49,30.09,29.88,29.79,10,9,4,26,11,33,0.01,6,Rain,276
2016-9-11,76,64,51,54,51,47,93,65,36,30.22,30.15,30.10,10,10,10,13,6,17,0.00,1,,223
2016-9-12,79,67,54,56,53,50,86,63,39,30.13,30.08,30.01,10,10,10,20,9,25,0.00,1,,182
2016-9-13,85,75,65,66,61,55,87,67,47,30.13,30.04,30.01,10,10,10,16,9,21,T,6,Rain,268
2016-9-14,74,69,64,63,58,52,93,70,46,30.25,30.21,30.14,10,10,5,14,8,18,0.09,6,Rain,38
2016-9-15,78,69,60,60,58,56,90,69,47,30.25,30.18,30.09,10,10,10,16,8,25,0.00,3,,106
2016-9-16,83,74,65,68,62,56,79,69,58,30.07,29.96,29.88,10,10,10,24,12,35,0.01,7,,181
2016-9-17,82,74,64,67,61,50,93,70,31,29.94,29.90,29.86,10,9,5,18,8,26,0.04,5,Rain,251
2016-9-18,81,69,57,59,55,51,90,65,39,30.01,29.96,29.94,10,10,10,9,4,11,0.00,2,,241
2016-9-19,88,72,56,63,53,47,80,53,25,30.07,30.00,29.94,10,10,10,20,8,27,0.00,2,,200
2016-9-20,83,75,66,64,55,43,93,60,26,30.17,30.13,30.07,10,10,10,16,8,22,T,3,Rain,67
2016-9-21,74,70,65,66,63,61,93,83,73,30.24,30.16,30.02,10,9,2,30,7,34,0.55,7,Rain-Thunderstorm,84
2016-9-22,81,73,64,67,64,62,93,76,58,30.10,30.04,29.97,10,10,7,13,5,16,T,8,,165
2016-9-23,73,70,67,67,65,63,90,82,73,30.14,30.08,29.99,10,9,3,17,10,24,T,7,,32
2016-9-24,74,70,66,64,62,61,87,78,68,30.19,30.15,30.11,10,10,10,14,9,19,0.00,5,,69
2016-9-25,85,74,63,69,63,52,93,74,55,30.11,30.00,29.86,10,10,10,23,10,29,0.01,5,Rain,179
2016-9-26,69,63,56,54,41,32,72,49,25,29.99,29.95,29.90,10,10,10,29,15,36,T,3,Rain,268
2016-9-27,70,61,51,46,37,30,72,49,26,29.89,29.80,29.74,10,10,10,28,14,37,0.00,4,,264
2016-9-28,60,55,50,55,49,44,86,72,57,30.08,29.94,29.77,10,9,3,28,12,33,0.31,8,Rain-Thunderstorm,358
2016-9-29,65,62,59,60,57,55,90,84,78,30.23,30.16,30.07,10,9,2,24,16,31,0.20,8,Rain,26
2016-9-30,64,62,60,60,59,57,90,87,84,30.17,30.12,30.04,10,8,2,20,11,24,0.10,8,Rain,40
